EX_RL,RL,EX_RT,RT,nu_RL,nu_RT,q,Q2
24.41476,40.452984,34.336,11.754000000000001,0.02536576099165089,0.03526016892500472,0.148,0.02
24.43205,41.41296000000001,34.421,12.042,0.02538301183173886,0.03534490132181745,0.148,0.02
24.60861,42.03529199999999,34.6,11.620800000000001,0.02555917042258571,0.03552333568713806,0.148,0.02
24.67765,42.75089999999999,34.761,11.3904,0.02562805270685686,0.03568382450655783,0.148,0.02
24.82121,43.16076000000001,34.924,11.2968,0.02577128340096024,0.03584630463606864,0.148,0.02
24.89119,44.245332,35.079,11.030399999999998,0.02584110221311597,0.03600080809699335,0.148,0.02
24.99692,45.497375999999996,35.247,10.8936,0.02594658785554849,0.03616826750874047,0.148,0.02
25.117359999999998,45.02016,35.422000000000004,10.8936,0.02606674829099731,0.03634270173691512,0.148,0.02
25.27875,44.532144,35.599,10.8,0.02622776165318719,0.03651912673922908,0.148,0.02
25.44689,44.621208,35.787,10.7568,0.0263955068017836,0.03670651296769378,0.148,0.02
25.62978,44.407151999999996,35.933,10.8108,0.02657796446077754,0.03685203415542304,0.148,0.02
25.80662,43.220196,36.096000000000004,11.3508,0.02675438359627869,0.03701449736022511,0.148,0.02
26.00082,42.29316,36.241,11.2644,0.02694811821634424,0.03715901786506137,0.148,0.02
26.09541,41.361264,36.427,11.3256,0.02704248032822143,0.03734440006190809,0.148,0.02
26.20075,40.06994400000001,36.598,11.318399999999999,0.02714756560573051,0.03751482937809669,0.148,0.02
26.29245,40.449311999999985,36.773,9.198,0.02723904306374081,0.03768924266360152,0.148,0.02
26.416680000000003,40.08204,36.789,10.7496,0.02736297038520696,0.03770518888580732,0.148,0.02
26.567259999999997,38.61950399999999,36.974,10.0044,0.02751318166910188,0.0378895654334972,0.148,0.02
26.59475,37.586808,37.137,9.1764,0.02754060413865034,0.03805201360978039,0.148,0.02
26.70797,38.114856,37.287,9.4932,0.02765354530114017,0.03820150371773678,0.148,0.02
26.81169,37.3977,37.43,10.0908,0.02775700886111565,0.03834401576556523,0.148,0.02
26.993579999999998,36.701424,37.6,10.9656,0.02793844684504876,0.03851343332677537,0.148,0.02
27.180139999999998,36.877608,37.803000000000004,11.7144,0.02812454017177224,0.03871573447415244,0.148,0.02
27.21651,36.179028,37.927,11.934000000000001,0.02816081883354116,0.03883930579376837,0.148,0.02
27.38426,34.172495999999995,38.034,12.6792,0.02832814603249112,0.03894593478991482,0.148,0.02
27.38984,35.27514,38.22399999999999,12.671999999999999,0.0283337119255922,0.0391352735000936,0.148,0.02
27.58014,33.89508,38.375,12.3336,0.02852352916996281,0.03928574566949372,0.148,0.02
27.73032,33.539076,38.551,12.096,0.02867332592148131,0.03946112790233869,0.148,0.02
27.81302,34.11972,38.707,11.844000000000001,0.0287558140221833,0.03961657804366148,0.148,0.02
27.983439999999998,34.847136,38.84899999999999,11.7036,0.02892579544631424,0.03975807565843326,0.148,0.02
28.201150000000002,34.915608,39.029,11.311200000000001,0.0291429414191029,0.03993743626697288,0.148,0.02
28.37752,34.443072,39.205999999999996,11.1132,0.02931885140777091,0.04011380473562554,0.148,0.02
28.408260000000002,33.689304,39.367,10.458,0.02934951094860772,0.04027422788371737,0.148,0.02
28.59761,32.865084,39.493,9.6372,0.02953836349267291,0.04039977483419932,0.148,0.02
28.79937,32.518151999999986,39.57,10.278,0.02973958993159442,0.04047649727894331,0.148,0.02
28.980220000000003,34.08426,39.67499999999999,9.1296,0.02991995859713548,0.0405811179489195,0.148,0.02
28.99409,35.020908000000006,39.773,9.882,0.02993379156211873,0.04067876302731221,0.148,0.02
29.1171,34.624440000000014,,,0.03005647235951514,,0.148,0.02
29.24013,34.5402,,,0.03017917176023843,,0.148,0.02
29.2997,35.372988,,,0.03023858120445233,,0.148,0.02
29.447170000000003,35.451648000000006,,,0.03038565238188085,,0.148,0.02
29.617910000000002,35.290368,,,0.03055592821662323,,0.148,0.02
29.79876,35.004059999999996,,,0.03073628374581894,,0.148,0.02
29.97847,33.940512,,,0.03091549951733796,,0.148,0.02
30.13051,33.086124,,,0.03106711914778515,,0.148,0.02
30.17258,31.951188000000013,,,0.03110907246780314,,0.148,0.02
30.24603,32.11434,,,0.03118231837987473,,0.148,0.02
30.328609999999998,32.535396,,,0.03126466835180075,,0.148,0.02
30.44214,32.047164,,,0.03137788112435835,,0.148,0.02
30.612750000000002,31.087728,,,0.03154801225277026,,0.148,0.02
30.78439,29.63556000000001,,,0.03171916788462603,,0.148,0.02
30.789179999999998,30.56831999999999,,,0.03172394432976233,,0.148,0.02
30.92185,29.299751999999998,,,0.03185623808798077,,0.148,0.02
31.03354,29.181672,,,0.03196761013340321,,0.148,0.02
31.15509,28.771128,,,0.03208881285246612,,0.148,0.02
31.23069,29.421324,,,0.03216419619445254,,0.148,0.02
31.40601,29.420748,,,0.0323390118033462,,0.148,0.02
31.581039999999998,28.929168000000008,,,0.03251353552726499,,0.148,0.02
31.711570000000002,29.615832,,,0.03264368619928959,,0.148,0.02
31.80572,29.251763999999998,,,0.03273756165579123,,0.148,0.02
31.908060000000003,27.914364,,,0.03283960233844496,,0.148,0.02
31.955209999999997,26.669232,,,0.03288661412468308,,0.148,0.02
32.02661,27.006984000000003,,,0.03295780445007246,,0.148,0.02
