E0,ThetaDeg,nu,A,Z,CS_qe,CS_mec,CS_inel,cross,,
0.2803,60,4.28E-02,12,6,39230.39458,0.672971073,0,39231.06756,,
0.2803,60,4.78E-02,12,6,39717.54752,0.958680675,0,39718.5062,,
0.2803,60,5.28E-02,12,6,39032.05198,1.257765168,0,39033.30974,,
0.2803,60,5.78E-02,12,6,37363.24373,1.570012377,0,37364.81374,,
0.2803,60,6.28E-02,12,6,34916.4923,1.894585753,0,34918.38688,,
0.2803,60,6.78E-02,12,6,31906.71637,913.9188539,0,32820.63522,,
0.2803,60,7.28E-02,12,6,28545.07824,991.6251989,0,29536.70343,,
0.2803,60,7.78E-02,12,6,25023.77624,1068.03007,0,26091.80631,,
0.2803,60,8.28E-02,12,6,21506.14593,1142.948044,0,22649.09398,,
0.2803,60,8.78E-02,12,6,18123.47182,1216.18754,0,19339.65936,,
0.2803,60,9.28E-02,12,6,14975.66534,1287.558483,0,16263.22383,,
0.2803,60,9.78E-02,12,6,12133.0541,1356.879321,0,13489.93342,,
0.2803,60,0.1028,12,6,9638.290734,1423.983177,0,11062.27391,,
0.2803,60,0.1078,12,6,7508.624456,1488.722956,0,8997.347412,,
0.2803,60,0.1128,12,6,5739.064597,1550.975286,0,7290.039884,,
0.2803,60,0.1178,12,6,4306.671237,1610.643198,0,5917.314435,,
0.2803,60,0.1228,12,6,3175.746915,1667.657503,0,4843.404418,,
0.2803,60,0.1278,12,6,2303.346916,1721.976832,0,4025.323748,,
0.2803,60,0.1328,12,6,1644.396655,1773.586342,0,3417.982997,,
0.2803,60,0.1378,12,6,1155.809867,1822.495113,0,2978.30498,,
0.32,36,1.25E-02,12,6,205382.8462,0,0,205382.8462,,
0.32,36,1.75E-02,12,6,258956.2409,0,0,258956.2409,,
0.32,36,2.25E-02,12,6,287424.3925,0,0,287424.3925,,
0.32,36,2.75E-02,12,6,291823.2019,0,0,291823.2019,,
0.32,36,3.25E-02,12,6,277467.9347,0.765058642,0,277468.6997,,
0.32,36,3.75E-02,12,6,260622.2844,2.344068542,0,260624.6285,,
0.32,36,4.25E-02,12,6,238771.2918,2911.497067,0,241682.7888,,
0.32,36,4.75E-02,12,6,213394.8887,3327.337267,0,216722.226,,
0.32,36,5.25E-02,12,6,186391.5441,3713.281019,0,190104.8251,,
0.32,36,5.75E-02,12,6,158821.8121,4068.578479,0,162890.3906,,
0.32,36,6.25E-02,12,6,131695.674,4392.860259,0,136088.5343,,
0.32,36,6.75E-02,12,6,106174.3934,4686.133266,0,110860.5266,,
0.32,36,7.25E-02,12,6,83280.39808,4948.778396,0,88229.17647,,
0.32,36,7.75E-02,12,6,63631.33949,5181.548651,0,68812.88814,,
0.32,36,8.25E-02,12,6,47416.24821,5385.565707,0,52801.81392,,
0.32,36,8.75E-02,12,6,34500.75188,5562.312587,0,40063.06447,,
0.32,36,9.25E-02,12,6,24545.16297,5713.619978,0,30258.78295,,
0.3201,145,3.01E-02,12,6,9.597688354,0,0,9.597688354,,
0.3201,145,3.51E-02,12,6,17.16426001,0,0,17.16426001,,
0.3201,145,4.01E-02,12,6,29.32970633,0.278324043,0,29.60803037,,
0.3201,145,4.51E-02,12,6,44.73735114,1.899518951,0,46.63687009,,
