A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.0651,0.3601,90,1680,76.72600602,1
12,6,0.0651,0.3601,145,48,9.152311183,1
12,6,0.0651,0.3201,145,260,15.00399947,1
12,6,0.0673,0.4798,60,4780,183.8969276,1
12,6,0.0675,0.48,36,86560,4334.519618,1
12,6,0.0675,0.4,36,96580,5559.391664,1
12,6,0.0675,0.32,36,91440,7930.096363,1
12,6,0.0675,0.68,60,120,10.8295891,1
12,6,0.0675,0.62,60,430,24.93752193,1
12,6,0.0675,0.44,60,8090,308.9299597,1
12,6,0.0675,0.2,60,26050,3324.804205,1
12,6,0.0676,0.2801,90,6630,311.2045629,1
12,6,0.0676,0.2801,145,973,52.30750233,1
12,6,0.0678,0.3203,60,25960,1048.95468,1
12,6,0.0678,0.2803,60,31680,1346.382888,1
12,6,0.0679,0.2404,60,29580,1616.314227,1
12,6,0.068,0.4005,90,750,39.68626966,1
12,6,0.0682,0.3207,90,3820,192.6418439,1
12,6,0.0684,0.3609,60,19050,737.8231496,1
12,6,0.0685,0.401,60,12940,499.3318736,1
12,6,0.0686,0.2411,90,9950,498.4004414,1
12,6,0.0686,0.2411,145,2051,103.3098311,1
12,6,0.0697,0.3997,145,10,1.058300525,1
12,6,0.0699,0.1999,90,10840,733.4212432,1
12,6,0.0699,0.1999,145,3860,216.2857369,1
12,6,0.0701,0.3601,90,1920,89.57499651,1
12,6,0.0701,0.3601,145,69,8.349443095,1
12,6,0.0701,0.3201,145,323,17.92190838,1
12,6,0.0713,0.5188,60,3130,129.0592112,1
12,6,0.0718,0.5193,90,30,4.132795664,1
12,6,0.0719,0.4794,90,100,10.58300525,1
12,6,0.0723,0.4798,60,5270,203.5374167,1
12,6,0.0725,0.68,36,26870,1380.867945,1
12,6,0.0725,0.62,36,41130,1976.591075,1
12,6,0.0725,0.56,36,58570,3067.007317,1
12,6,0.0725,0.48,36,80110,4064.730559,1
12,6,0.0725,0.4,36,89120,5228.694797,1
12,6,0.0725,0.32,36,78750,7326.791589,1
12,6,0.0725,0.56,60,1620,89.71777973,1
12,6,0.0725,0.44,60,8920,339.2339606,1
12,6,0.0726,0.2801,90,6810,315.8343237,1
12,6,0.0726,0.2801,145,1042,51.69058715,1
12,6,0.0728,0.3203,60,24810,1015.009025,1
12,6,0.0728,0.2803,60,28410,1231.32194,1
12,6,0.0729,0.2404,60,24830,1492.727262,1
12,6,0.073,0.4005,90,910,50.92857744,1
12,6,0.0732,0.3207,90,4190,216.0262021,1
12,6,0.0734,0.3609,60,19330,755.5651395,1
12,6,0.0735,0.401,60,13590,528.4181299,1
12,6,0.0736,0.2411,90,9700,492.4510128,1
12,6,0.0736,0.2411,145,2182,110.7896602,1
12,6,0.0747,0.3997,145,18,3.06411488,1
12,6,0.0749,0.1999,90,9560,702.9027813,1
12,6,0.0749,0.1999,145,3930,225.6853562,1
