A,Z,nu,E0,ThetaDeg,cross,error,dataSet
12,6,0.02641,0.25,35.0,477000.0,19667.213830730496,16
12,6,0.02649,0.0888,135.0,18610.0,1068.9760711764472,16
12,6,0.02661,0.25,35.0,477000.0,19667.213830730496,16
12,6,0.02942,0.1,135.0,12930.0,533.0448011289144,16
12,6,0.0247,0.0809,135.0,16240.0,1369.3392863497957,18
12,6,0.029,0.098,135.0,10060.0,743.1319734649478,18
12,6,0.02681,0.25,35.0,461000.0,19007.516934194493,16
12,6,0.02669,0.0888,135.0,18340.0,1053.4657517373234,16
12,6,0.02965,0.1,135.0,12520.0,516.1400682270768,16
12,6,0.02701,0.25,35.0,453000.0,18677.668485926486,16
12,6,0.02689,0.0888,135.0,17440.0,1001.7646879105267,16
12,6,0.02984,0.1,135.0,12200.0,502.94613033774675,16
12,6,0.02721,0.25,35.0,430000.0,17729.354186225042,16
12,6,0.02709,0.0888,135.0,16720.0,960.490874545322,16
12,6,0.03003,0.1,135.0,12730.0,524.9441112695818,16
12,6,0.02741,0.25,35.0,429000.0,17688.12313237773,16
12,6,0.02729,0.0888,135.0,16370.0,940.2978676607277,16
12,6,0.0284,0.161,60.0,132800.0,9155.936435357686,1
12,6,0.03024,0.1,135.0,12650.0,521.5001054733544,16
12,6,0.02761,0.25,35.0,413000.0,17028.426235841718,16
12,6,0.02749,0.0888,135.0,16400.0,942.3694020894941,16
12,6,0.03043,0.1,135.0,12680.0,522.8097933031049,16
12,6,0.02781,0.25,35.0,402000.0,16574.88461728703,16
12,6,0.0275,0.24,36.0,462100.0,41596.74540199007,1
12,6,0.0258,0.0809,135.0,16960.0,1465.721078801974,18
12,6,0.03,0.098,135.0,7284.0,688.0680015591773,18
12,6,0.02769,0.0888,135.0,15970.0,917.319617115246,16
12,6,0.02801,0.25,35.0,394000.0,16245.036169019026,16
12,6,0.03065,0.1,135.0,12010.0,495.1122296951399,16
12,6,0.02789,0.0888,135.0,15820.0,908.7027731608719,16
12,6,0.02821,0.25,35.0,391000.0,16121.342998732338,16
12,6,0.03085,0.1,135.0,11820.0,487.35108498312326,16
12,6,0.02809,0.0888,135.0,15800.0,907.6408981274618,16
12,6,0.02841,0.25,35.0,384000.0,15832.725604311647,16
12,6,0.03106,0.1,135.0,11640.0,479.856739036896,16
12,6,0.02829,0.0888,135.0,15820.0,908.7898106929292,16
12,6,0.02861,0.25,35.0,372000.0,15337.952923164894,16
